Lisandro,Hernández,26172943,1998-01-21,5842
Abigail,Loreto,29063536,1982-07-23,990
Lucio,Hoffmann,31676254,2002-02-01,8688
Alma,Nessi,22004676,1996-01-27,6060
Amparo,Marino,37347449,1991-07-21,6952
Facundo Ezequiel,Varela,29376249,1997-05-27,1863
Salvador,Duarte,25608800,1980-10-18,7341
Rodrigo,Marchi,36217488,1990-05-25,5686
Thiago Agustin,Abadía,24807259,1980-07-29,7574
Matias Nahuel,Sojero,35041838,2004-01-11,5711
Franco Nicolas,Basile,29352639,1984-12-22,6759
Gonzalo Ezequiel,Vargas,35244675,2001-01-28,1145
